,pred
0,366391.5548014751
1,1974848.2739146503
2,577204.9897556321
3,323196.82128079096
4,556618.797071169
5,606115.580063649
6,411696.10080101463
7,211841.75301669695
8,1261545.1179251836
9,405073.4198738919
10,1566542.5884242144
11,571479.6246779759
12,686155.4429163913
13,406323.5696116517
14,998991.8902358104
15,1430762.5809215494
16,486626.42782563186
17,432128.52359746664
18,2345937.572292774
19,1439016.7403092931
20,317040.1448988093
21,470808.04491404846
22,265668.6803765807
23,441663.7113154264
24,1004866.9318693897
25,2020162.22515601
26,411083.7766115493
27,387116.48187075136
28,886836.1989095354
29,463599.4364177438
30,578985.6724333523
31,662058.4597445269
32,636309.6835734562
33,849196.1918310022
34,377556.78425126855
35,1010043.5471616585
36,177378.4025265064
37,451771.9401119386
38,887540.2719558956
39,292344.3779285471
40,222839.54164115954
41,246230.48957310783
42,669146.7125211518
43,967789.7686062179
44,816557.5565971874
45,1440114.1064338686
46,1045119.199506945
47,1111445.0797609687
48,687719.757722106
49,442725.4137609159
50,340124.90472920256
51,524982.7254614539
52,905103.6823192709
53,208485.0876722059
54,577370.861745092
55,618576.3343742494
56,813435.6550927095
57,1317880.0064280364
58,399833.9333222546
59,610126.3868943064
60,522895.34225585667
61,909453.5001688261
62,632902.648168456
63,976267.2050493562
64,516231.8544830867
65,437320.0010991614
66,1884962.385084771
67,1449938.3862210414
68,533225.5154759728
69,190779.93752219313
70,252263.67042327
71,176730.3723934362
72,250651.1872830919
73,588709.8370677464
74,329110.4387003944
75,1148778.5923779139
76,458226.9596103994
77,767112.5477321331
78,280500.06183453364
79,408340.09866110404
80,186671.0222750608
81,1023858.9907743664
82,553344.0483806751
83,2279356.6814381266
84,609518.589111386
85,219603.70765219143
86,444923.6011228159
87,276579.53650508856
88,1159268.931725829
89,1140210.0983195323
90,1150884.9821075117
91,532344.5698958362
92,347804.0063626296
93,410452.4950904052
94,320370.1203674797
95,481925.4603657204
96,444923.6011228159
97,426607.5217059452
98,825845.4816577121
99,1642776.6858664132
100,2307702.63971806
101,1447684.6325757147
102,711248.6173655542
103,288876.97837239975
104,1666119.8527882698
105,952323.7530072401
106,1189373.33681775
107,722749.5408639254
108,673245.119303751
109,413662.5674980532
110,433791.20872902864
111,564809.37963885
112,329742.7332961434
113,461946.617403817
114,260673.72785245074
115,679702.7671540914
116,845075.7320144535
117,483572.01508290955
118,2671097.454310662
119,1320497.5557992712
120,779852.5310682125
121,1137048.0768223014
122,490388.8553156229
123,738862.7258819845
124,1264496.11118252
125,1068159.5778890173
126,435379.2184431896
127,843740.4282536095
128,846462.9368681319
129,556377.1759865655
130,450094.0222851362
131,2677188.948867993
132,1193700.4939830431
133,471322.8833746158
134,936182.0563346902
135,849744.0496676912
136,1111665.4548518087
137,837540.5575497095
138,2498797.4724776093
139,225341.40061086413
140,256358.37458218663
141,376707.8329978022
142,417544.7123446746
143,272898.72873152996
144,411650.72447978647
145,876270.835219239
146,767917.5522755248
147,759323.314385273
148,222839.54164115954
149,307171.78438406397
150,543196.8317200368
151,185813.55105736933
152,412455.6856432683
153,280117.995777134
154,639749.9257902823
155,355313.79584949545
156,344023.84983548505
157,540845.4128890914
158,592422.9867744166
159,729973.0446072232
160,476377.84678361163
161,705427.222585202
162,727885.6361307178
163,606668.5152415633
164,417860.7220202449
165,289054.01019271376
166,195924.04781052345
167,268075.35575757636
168,321542.0902543792
169,433222.36003360874
170,661090.4343385427
171,430714.03250161716
172,1927184.450738077
173,865817.3265820298
174,609233.5671038566
175,753725.8903220998
176,466577.3933819329
177,791461.7963550114
178,1630391.6785696277
179,409637.45025262097
180,274478.1675588852
181,855929.4699272354
182,403774.7244977033
183,701909.4135733129
184,316946.75853398064
185,612492.5254245679
186,2150201.6240937305
187,313858.4147121954
188,751206.3797426607
189,1192781.0383688807
190,427430.2317732709
191,387059.0264545816
192,343480.97713347524
193,309089.1523970301
194,618670.974096868
195,476646.15539101267
196,940986.350063248
197,316892.0391531303
198,363905.20157600526
199,439823.10259816766
200,749285.5359576704
201,795551.944429881
202,459854.9513836642
203,708062.8101988976
204,286200.85745667777
205,994723.0966220946
206,908766.2929912078
207,412515.20682169474
208,2045689.7925791403
209,460452.96048933524
210,1221778.2553813308
211,529510.3635284505
212,560807.9975082636
213,346860.61409104004
214,783510.3343586412
215,227182.2501143621
216,1449056.5431319198
217,352883.33421936777
218,490884.9572325535
219,914190.6943682206
220,716242.9584868047
221,798293.3873384843
222,486626.61614726664
223,1076735.557371183
224,451461.0357375274
225,394776.41363325436
226,706562.551921808
227,786747.1533557025
228,485454.52600089007
229,2070678.7455135914
230,385054.16856849723
231,376341.17593652086
232,484189.11749361595
233,835044.5510557016
234,756576.0786008529
235,1424406.9718591613
236,416447.531275497
237,1032924.4129408364
238,318620.01722629566
239,509555.6301972065
240,281085.3388570811
241,554721.2060647904
242,1536202.3358660685
243,345922.8131575428
244,594146.4789322414
245,2123040.8378060604
246,810941.0725301303
247,384611.22799492476
248,452899.56086888287
249,1567350.4282327387
250,782087.6733833567
251,966004.8656125312
252,286282.0574951558
253,2640791.669224935
254,560579.579624049
255,623264.9848876968
256,548111.4900373041
257,336470.94587504305
