iter	RMSE
0	0.6181615527
1	0.5353659562
2	0.480553682
3	0.4458215522
4	0.4247983411
5	0.4120473711
6	0.4042745651
7	0.3998743434
8	0.3968072045
9	0.3950738057
10	0.3939786886
11	0.393069577
12	0.3924265274
13	0.3919116035
14	0.3915251083
15	0.3912324503
16	0.3911664585
17	0.3909177661
18	0.390655952
19	0.3905310018
20	0.3903273389
21	0.3902823732
22	0.390120433
23	0.3899146511
24	0.3896823087
25	0.3896264431
26	0.3893974557
27	0.3893359729
28	0.3891218069
29	0.3889891328
30	0.3888471238
31	0.3887880666
32	0.3886305502
33	0.3884462354
34	0.3882984006
35	0.3882214554
36	0.3880398285
37	0.38781314
38	0.3877590181
39	0.3876844171
40	0.387517129
41	0.3872207159
42	0.3870867805
43	0.3869184818
44	0.3866546043
45	0.38642814
46	0.3863814009
47	0.3861215097
48	0.3856631733
49	0.3856409142
50	0.3852837108
51	0.3849773146
52	0.3846255488
53	0.3844167752
54	0.3842986424
55	0.3841458869
56	0.3839005747
57	0.3837265451
58	0.3834301238
59	0.3829943286
60	0.3827442352
61	0.3827217323
62	0.382705082
63	0.3824522339
64	0.3822717281
65	0.3820134155
66	0.3818612868
67	0.3813732481
68	0.3812319617
69	0.3809999755
70	0.3807021028
71	0.3804844907
72	0.3801644341
73	0.3799616541
74	0.3799480964
75	0.3796853708
76	0.3793739841
77	0.3791075235
78	0.3787920602
79	0.3785489292
80	0.3783907758
81	0.3782114953
82	0.3779919843
83	0.3777267465
84	0.3777147853
85	0.3776671705
86	0.3773550735
87	0.3770923537
88	0.3766486826
89	0.3766339202
90	0.3764418214
91	0.3763002807
92	0.3762021693
93	0.3761042964
94	0.375912385
95	0.3756196702
96	0.375590865
97	0.3754070713
98	0.3753977817
99	0.3751861438
100	0.3749810205
101	0.3747130484
102	0.3744649537
103	0.3741901004
104	0.3739900541
105	0.373835513
106	0.3738272227
107	0.3736236499
108	0.373381323
109	0.3732113356
110	0.3729241835
111	0.372743044
112	0.3726100918
113	0.3725624467
114	0.3723644702
115	0.3721938572
116	0.3720363157
117	0.3719644459
118	0.3717734375
119	0.3716215122
120	0.3714097286
121	0.3712484355
122	0.371182959
123	0.3709921897
124	0.3707859374
125	0.3706383862
126	0.3704605264
127	0.3702237837
128	0.3701125415
129	0.3701053528
130	0.3700134244
131	0.3698128689
132	0.3697408363
133	0.3696837259
134	0.3696331905
135	0.3695819732
136	0.3694353182
137	0.3693451974
138	0.3691749062
139	0.3689621425
140	0.3688977538
141	0.3688554205
142	0.3685860668
143	0.3685106916
144	0.3684258477
145	0.3682205145
146	0.3678959145
147	0.3677158026
148	0.3674977182
149	0.3674051272
150	0.3671528478
151	0.366923985
152	0.3665642272
153	0.3664910424
154	0.3661563599
155	0.3659745968
156	0.3658248973
157	0.36549112
158	0.3653944668
159	0.3652341087
160	0.365043615
161	0.3648847034
162	0.3647893903
163	0.3647385385
164	0.3646815564
165	0.3645246091
166	0.3644006492
167	0.3641541263
168	0.3638939155
169	0.3638055506
170	0.3637831631
171	0.3636828189
172	0.3635929717
173	0.3634327929
174	0.3632664749
175	0.3631200513
176	0.3630802955
177	0.3629527824
178	0.3628499875
179	0.3627273961
180	0.3625982827
181	0.3625417825
182	0.3625343724
183	0.3623443696
184	0.3621476681
185	0.3620187795
186	0.3619265193
187	0.3618831347
188	0.3617373223
189	0.3616922906
190	0.3614916989
191	0.3614309577
192	0.3612160463
193	0.3611568728
194	0.361025424
195	0.3608552965
196	0.3607338791
197	0.3605643263
198	0.3604593059
199	0.3604514086
