iter	Passed	Remaining
0	5	1043
1	9	972
2	14	930
3	18	924
4	23	931
5	28	910
6	32	899
7	37	888
8	41	872
9	45	860
10	49	849
11	54	846
12	58	842
13	62	835
14	67	832
15	71	825
16	75	816
17	80	814
18	85	810
19	89	804
20	93	796
21	97	789
22	101	782
23	105	775
24	109	769
25	114	765
26	118	759
27	122	754
28	127	749
29	131	744
30	135	741
31	140	736
32	144	731
33	148	726
34	152	719
35	157	715
36	161	711
37	165	705
38	169	701
39	174	697
40	178	693
41	183	689
42	187	683
43	191	680
44	196	675
45	200	669
46	203	664
47	208	660
48	212	656
49	217	651
50	221	648
51	226	643
52	230	638
53	234	635
54	239	631
55	243	626
56	247	621
57	251	616
58	255	611
59	260	607
60	264	603
61	268	598
62	272	592
63	277	588
64	281	584
65	285	579
66	289	574
67	294	571
68	298	566
69	302	561
70	306	557
71	311	553
72	316	550
73	321	546
74	324	541
75	329	537
76	333	533
77	338	529
78	342	525
79	347	520
80	351	516
81	355	512
82	360	507
83	364	503
84	368	499
85	373	494
86	377	490
87	382	486
88	386	482
89	390	477
90	394	472
91	398	468
92	402	463
93	406	458
94	411	454
95	415	450
96	419	445
97	424	441
98	428	437
99	432	432
100	436	428
101	441	424
102	446	420
103	451	416
104	455	412
105	459	407
106	463	403
107	467	398
108	472	394
109	476	389
110	481	385
111	485	381
112	489	376
113	493	372
114	497	367
115	502	363
116	506	359
117	510	354
118	515	350
119	519	346
120	523	341
121	527	337
122	532	333
123	536	328
124	540	324
125	545	320
126	550	316
127	554	312
128	558	307
129	563	303
130	567	299
131	572	294
132	576	290
133	580	285
134	584	281
135	588	276
136	592	272
137	596	268
138	601	263
139	605	259
140	609	255
141	613	250
142	617	246
143	622	241
144	626	237
145	630	233
146	634	228
147	639	224
148	643	220
149	648	216
150	652	211
151	657	207
152	661	203
153	666	198
154	671	194
155	675	190
156	679	186
157	684	181
158	688	177
159	692	173
160	696	168
161	700	164
162	705	160
163	709	155
164	713	151
165	717	146
166	722	142
167	726	138
168	730	134
169	735	129
170	739	125
171	743	120
172	748	116
173	752	112
174	757	108
175	762	103
176	766	99
177	770	95
178	774	90
179	779	86
180	783	82
181	787	77
182	791	73
183	795	69
184	800	64
185	805	60
186	809	56
187	813	51
188	818	47
189	822	43
190	826	38
191	831	34
192	835	30
193	839	25
194	843	21
195	848	17
196	853	12
197	857	8
198	862	4
199	866	0
