,pred
0,381593.1
1,2499335.2
2,638410.0
3,380890.82
4,613510.74
5,832505.0
6,389820.75
7,221040.7
8,1710956.58
9,466462.48
10,2788669.34
11,557100.0
12,728202.0
13,429305.16
14,1121210.39
15,2882540.0
16,470707.16
17,534459.02
18,2739436.25
19,1670420.0
20,358422.7533333333
21,412416.66
22,302330.54
23,453084.84
24,1123398.2
25,2245857.4
26,487285.89
27,432233.88
28,1132346.3333333335
29,538804.8
30,675322.43
31,874205.0
32,698932.58
33,974525.37
34,456729.9
35,1667040.0
36,190149.5
37,598968.47
38,1243986.37
39,389953.95
40,221685.2
41,250230.0
42,759291.0
43,1195547.95
44,787870.25
45,1344248.22
46,1407006.4933333332
47,1184452.98
48,791836.0
49,505657.95
50,352721.72
51,542832.99
52,898669.95
53,207230.0
54,770175.4
55,755111.08
56,969760.57
57,1784340.1
58,425402.3
59,845620.0
60,603676.83
61,2075759.99
62,619580.29
63,1189648.93
64,603313.26
65,495792.3
66,2344340.0
67,1823046.1
68,694034.19
69,208790.0
70,296137.0
71,209876.6
72,237439.19
73,672640.96
74,342504.8
75,1394587.87
76,465322.1
77,851951.09
78,289166.25
79,403625.56
80,182735.0
81,1216116.25
82,700476.04
83,2611225.0
84,697649.4
85,222973.58
86,400950.0
87,303585.0
88,1769625.0
89,1171703.07
90,2160210.0
91,592560.6
92,369414.42
93,370299.24
94,358288.23
95,464545.18
96,642675.0
97,471797.81
98,1070979.255
99,1412000.85
100,1941033.37
101,1658587.23
102,845280.0
103,388814.29
104,1640675.19
105,1365430.58
106,1182301.04
107,830394.0
108,983901.02
109,476008.32
110,519154.69
111,677434.0
112,894333.87
113,535262.59
114,262752.89
115,786156.9
116,1082840.0
117,569958.01
118,2358457.31
119,1212238.17
120,878922.19
121,1308644.82
122,486039.24
123,771201.91
124,1455171.02
125,977278.82
126,468036.03
127,906942.99
128,983557.88
129,652147.35
130,483636.87
131,2904397.95
132,1616554.54
133,419131.16
134,1095141.99
135,945210.0
136,1309377.77
137,850070.51
138,3978562.56
139,257285.8
140,280756.2633333333
141,578932.47
142,476970.37
143,329569.07
144,639046.86
145,1036320.0
146,801072.5
147,839609.33
148,181085.7
149,361974.56
150,598797.49
151,231095.81
152,424408.42
153,295485.0
154,605719.29
155,316218.3333333333
156,375120.0
157,566161.5
158,641546.79
159,833171.25
160,479332.72
161,1319939.27
162,701288.9
163,571365.0
164,474939.28
165,237219.2
166,170004.52
167,289551.58
168,379199.97
169,488486.53
170,624635.0
171,521904.79
172,2395662.94
173,1377214.7166666668
174,606526.0
175,773817.04
176,531408.98
177,775478.44
178,2044364.54
179,466936.27
180,342087.33333333326
181,892868.64
182,463971.62
183,805272.49
184,430910.73
185,790687.26
186,2706478.25
187,381366.45
188,866244.59
189,1491082.05
190,480475.16
191,441591.73
192,337798.16
193,379814.5
194,706464.69
195,516765.31
196,1289166.91
197,334123.85
198,427777.97
199,576957.73
200,794097.27
201,846532.53
202,495839.03
203,833786.3253333335
204,321826.36
205,1150456.24
206,1002043.03
207,415081.7
208,2626823.84
209,569193.53
210,1283400.41
